domain,merchant_name,category,country_code,region
warbyparker.com,Warby Parker,retail,US,north_america
casper.com,Casper,retail,US,north_america
glossier.com,Glossier,retail,US,north_america
awaytravel.com,Away,retail,US,north_america
hims.com,Hims,retail,US,north_america
rothys.com,Rothy's,retail,US,north_america
everlane.com,Everlane,retail,US,north_america
harrys.com,Harry's,retail,US,north_america
dollarshaveclub.com,Dollar Shave Club,retail,US,north_america
thirdlove.com,ThirdLove,retail,US,north_america
oncloudstratus.com,On Running,retail,US,north_america
paragoncoffee.com,Paragon Coffee,retail,US,north_america
quince.com,Quince,retail,US,north_america
naadam.co,Naadam,retail,US,north_america
italic.com,Italic,retail,US,north_america
publicgoods.com,Public Goods,retail,US,north_america
misalosangeles.com,MISA Los Angeles,retail,US,north_america
leesa.com,Leesa,retail,US,north_america
boll-branch.com,Boll & Branch,retail,US,north_america
untuckit.com,UNTUCKit,retail,US,north_america
rhone.com,Rhone,retail,US,north_america
mizzenandmain.com,Mizzen+Main,retail,US,north_america
vuoriclothing.com,Vuori,retail,US,north_america
joybird.com,Joybird,retail,US,north_america
article.com,Article,retail,US,north_america
burrow.com,Burrow,retail,US,north_america
figs.com,FIGS,retail,US,north_america
athleticgreens.com,AG1,retail,US,north_america
caravanalife.com,Caravana,retail,US,north_america
hungryroot.com,Hungryroot,retail,US,north_america
