domain,merchant_name,category,country_code,region
ariba.com,SAP Ariba,b2b,US,north_america
coupa.com,Coupa,b2b,US,north_america
jaggaer.com,Jaggaer,b2b,US,north_america
ivalua.com,Ivalua,b2b,FR,europe
gep.com,GEP,b2b,US,north_america
procurify.com,Procurify,b2b,CA,north_america
precoro.com,Precoro,b2b,US,north_america
fairmarkit.com,FairMarkit,b2b,US,north_america
thomasnet.com,Thomasnet,b2b,US,north_america
grainger.com,W.W. Grainger,b2b,US,north_america
fastenal.com,Fastenal,b2b,US,north_america
mcmaster.com,McMaster-Carr,b2b,US,north_america
unimarket.com,Unimarket,b2b,US,north_america
tradeshift.com,Tradeshift,b2b,US,north_america
oracle.com/procurement,Oracle Procurement Cloud,b2b,US,north_america
