domain,merchant_name,category,country_code,region
mercadolibre.com,Mercado Libre,marketplace,AR,latam
mercadolibre.com.mx,Mercado Libre Mexico,marketplace,MX,latam
mercadolibre.com.br,Mercado Livre Brasil,marketplace,BR,latam
liverpool.com.mx,Liverpool,retail,MX,latam
falabella.com,Falabella,retail,CL,latam
magazineluiza.com.br,Magazine Luiza,retail,BR,latam
americanas.com.br,Americanas,retail,BR,latam
ripley.cl,Ripley Chile,retail,CL,latam
coppel.com,Coppel,retail,MX,latam
exito.com,Exito,retail,CO,latam
linio.com,Linio,marketplace,MX,latam
dafiti.com.br,Dafiti,retail,BR,latam
buscape.com.br,Buscape,marketplace,BR,latam
casasbahia.com.br,Casas Bahia,retail,BR,latam
rappi.com,Rappi,marketplace,CO,latam
tiendanube.com,Tiendanube,marketplace,AR,latam
vtex.com,VTEX,marketplace,BR,latam
netshoes.com.br,Netshoes,retail,BR,latam
elektra.com.mx,Elektra,retail,MX,latam
suburbia.com.mx,Suburbia,retail,MX,latam
sodimac.cl,Sodimac Chile,retail,CL,latam
sodimac.com.co,Sodimac Colombia,retail,CO,latam
paris.cl,Paris Chile,retail,CL,latam
cornershopapp.com,Cornershop,marketplace,MX,latam
despegar.com,Despegar,travel,AR,latam
privalia.com.br,Privalia Brasil,retail,BR,latam
puntosdelujo.com.mx,Puntos de Lujo,retail,MX,latam
lider.cl,Lider Chile,retail,CL,latam
jumbo.com.ar,Jumbo Argentina,retail,AR,latam
lacomer.com.mx,La Comer,retail,MX,latam
