domain,merchant_name,category,country_code,region
gymshark.com,Gymshark,retail,GB,europe
allbirds.com,Allbirds,retail,US,north_america
fashionnova.com,Fashion Nova,retail,US,north_america
kyliecosmetics.com,Kylie Cosmetics,retail,US,north_america
colourpop.com,ColourPop Cosmetics,retail,US,north_america
bombas.com,Bombas,retail,US,north_america
mvmtwatches.com,MVMT Watches,retail,US,north_america
brooklinen.com,Brooklinen,retail,US,north_america
hauslabs.com,Haus Labs,retail,US,north_america
skims.com,SKIMS,retail,US,north_america
ruggable.com,Ruggable,retail,US,north_america
chubbiesshorts.com,Chubbies,retail,US,north_america
puravidabracelets.com,Pura Vida Bracelets,retail,US,north_america
jeffreestarcosmetics.com,Jeffree Star Cosmetics,retail,US,north_america
negativeunderwear.com,Negative Underwear,retail,US,north_america
ridgewallet.com,Ridge Wallet,retail,US,north_america
gymshark.co.uk,Gymshark UK,retail,GB,europe
tentree.com,tentree,retail,CA,north_america
mejuri.com,Mejuri,retail,CA,north_america
nativeshoes.com,Native Shoes,retail,CA,north_america
redbullshop.com,Red Bull Shop,retail,US,north_america
culture-kings.com.au,Culture Kings,retail,AU,oceania
stevemadden.com,Steve Madden,retail,US,north_america
morphe.com,Morphe,retail,US,north_america
spiritualgangster.com,Spiritual Gangster,retail,US,north_america
tula.com,TULA Skincare,retail,US,north_america
drsquatch.com,Dr. Squatch,retail,US,north_america
checkout.shopify.com,Shopify Checkout,retail,US,north_america
hismile.com,HiSmile,retail,AU,oceania
oodie.com,The Oodie,retail,AU,oceania
beistravel.com,Beis Travel,retail,US,north_america
feastables.com,Feastables,retail,US,north_america
liquidiv.com,Liquid I.V.,retail,US,north_america
helixsleep.com,Helix Sleep,retail,US,north_america
kotn.com,Kotn,retail,CA,north_america
bloodybunny.com,Bloody Bunny,retail,US,north_america
cuts.com,Cuts Clothing,retail,US,north_america
manscaped.com,Manscaped,retail,US,north_america
trueclassictees.com,True Classic,retail,US,north_america
hexclad.com,HexClad,retail,US,north_america
olipop.com,OLIPOP,retail,US,north_america
sundayriley.com,Sunday Riley,retail,US,north_america
groominglounge.com,Grooming Lounge,retail,US,north_america
brantleygilbert.com,Brantley Gilbert Store,retail,US,north_america
studs.com,Studs,retail,US,north_america
primalpetfoods.com,Primal Pet Foods,retail,US,north_america
rfranco.com,Rebecca Minkoff,retail,US,north_america
snow.co,Snow Oral Care,retail,US,north_america
stance.com,Stance,retail,US,north_america
pupford.com,Pupford,retail,US,north_america
