domain,merchant_name,merchant_category,country_code,region,readiness_score,protocol_score,data_score,accessibility_score,checkout_score
mejuri.com,Mejuri,retail,CA,north_america,58,26,65,100,73
hauslabs.com,Haus Labs,retail,US,north_america,57,26,84,75,73
drsquatch.com,Dr. Squatch,retail,US,north_america,57,26,65,100,68
chubbiesshorts.com,Chubbies,retail,US,north_america,56,26,65,100,65
italic.com,Italic,retail,US,north_america,55,26,59,100,65
sallve.com.br,Sallve,retail,BR,latam,54,26,65,75,80
negativeunderwear.com,Negative Underwear,retail,US,north_america,54,26,61,85,78
beistravel.com,Beis Travel,retail,US,north_america,54,26,65,75,83
framebridge.com,Framebridge,retail,US,north_america,53,26,66,75,73
tattly.com,,,,,53,26,65,75,73
awaytravel.com,Away,retail,US,north_america,53,26,65,75,78
dollarshaveclub.com,Dollar Shave Club,retail,US,north_america,53,26,65,75,73
store.arduino.cc,,,,,53,26,65,75,73
hexclad.com,HexClad,retail,US,north_america,53,26,65,75,78
amaro.com,Amaro,retail,BR,latam,52,26,65,75,70
kyliecosmetics.com,Kylie Cosmetics,retail,US,north_america,52,26,59,75,78
zappos.com,,,,,51,12,90,100,23
compughana.com,CompuGhana,retail,GH,africa,51,26,62,75,68
primalpetfoods.com,Primal Pet Foods,retail,US,north_america,51,26,59,75,75
claro.com.br,Claro Brazil,other,BR,latam,49,0,99,100,25
slot.ng,Slot Systems,retail,NG,africa,48,0,100,100,20
brooklinen.com,Brooklinen,retail,US,north_america,46,26,35,75,78
everlane.com,Everlane,retail,US,north_america,46,26,35,75,78
decathlon.com,Decathlon,retail,FR,europe,46,26,40,75,73
thirdlove.com,ThirdLove,retail,US,north_america,46,26,35,75,78
ruggable.com,Ruggable,retail,US,north_america,45,16,35,100,68
casper.com,Casper,retail,US,north_america,45,26,35,75,73
grind.co.uk,Grind,retail,GB,europe,45,26,35,75,73
pangaia.com,Pangaia,retail,GB,europe,45,26,35,75,75
puravidabracelets.com,Pura Vida Bracelets,retail,US,north_america,45,26,35,75,73
skims.com,SKIMS,retail,US,north_america,45,26,35,75,70
kotn.com,Kotn,retail,CA,north_america,45,16,35,100,65
mizzenandmain.com,Mizzen+Main,retail,US,north_america,44,0,65,100,50
woocommerce.com,WooCommerce,saas,US,north_america,43,10,35,100,70
ikhokha.com,iKhokha,fintech,ZA,africa,43,0,59,100,53
burrow.com,Burrow,retail,US,north_america,43,26,10,100,65
pipedrive.com,Pipedrive,saas,EE,europe,42,0,94,75,23
sumup.com,SumUp,fintech,UK,europe,42,0,76,95,28
mercadolibre.com.pe,Mercado Libre Peru,marketplace,PE,latam,41,0,65,100,33
mercadolibre.com.ec,Mercado Libre Ecuador,marketplace,EC,latam,40,0,65,100,28
falabella.com.co,Falabella Colombia,retail,CO,latam,40,0,65,100,23
kiwi.com,Kiwi.com,travel,CZ,europe,40,0,35,100,73
dishoom.com,Dishoom,restaurant,GB,europe,40,0,49,100,53
newegg.com,Newegg,retail,US,north_america,40,0,65,100,28
vuoriclothing.com,Vuori,retail,US,north_america,40,16,35,75,65
claroshop.com,Claro Shop,marketplace,MX,latam,39,0,65,95,25
clip.mx,Clip,fintech,MX,latam,39,0,65,100,20
kayak.com,Kayak,travel,US,north_america,39,0,35,100,70
jeffreestarcosmetics.com,Jeffree Star Cosmetics,retail,US,north_america,39,26,10,75,73
athleticgreens.com,AG1,retail,US,north_america,39,0,35,100,65
marks-and-spencer.com,Marks & Spencer,retail,GB,europe,38,0,55,100,25
lookfantastic.com,Lookfantastic,retail,GB,europe,38,4,65,75,33
notonthehighstreet.com,Not On The High Street,marketplace,GB,europe,38,0,55,100,25
marksandspencer.com,Marks & Spencer,retail,GB,europe,38,0,55,100,25
ledger.com,Ledger,fintech,FR,europe,38,0,59,75,55
xkom.pl,x-kom,retail,PL,europe,38,10,35,100,35
bombas.com,Bombas,retail,US,north_america,38,0,40,100,53
apple.com,Apple,retail,US,north_america,38,0,56,100,25
hydrogen.shopify.dev,,,,,38,16,10,95,68
boll-branch.com,Boll & Branch,retail,US,north_america,38,10,35,100,35
officedepot.com.mx,Office Depot Mexico,retail,MX,latam,37,0,55,100,23
boohoo.com,Boohoo,retail,GB,europe,37,0,35,100,58
debenhams.com,Debenhams,retail,GB,europe,37,0,35,100,55
rippling.com,Rippling,saas,US,north_america,37,0,55,100,20
lidl.de,Lidl,retail,DE,europe,37,0,55,100,22
peachpayments.com,Peach Payments,fintech,ZA,africa,37,0,35,100,58
cdon.se,CDON,marketplace,SE,europe,37,0,35,100,53
dock.tech,Dock,fintech,BR,latam,37,0,35,100,53
temu.com,Temu,marketplace,CN,apac,37,0,35,100,58
konga.com,Konga,marketplace,NG,africa,37,0,35,100,53
payu.com,PayU,fintech,NL,europe,37,0,35,100,53
fondy.eu,Fondy,fintech,UA,europe,37,0,35,100,55
quince.com,Quince,retail,US,north_america,37,0,35,100,53
backmarket.com,Back Market,retail,FR,europe,36,0,25,100,63
tymebank.co.za,TymeBank,fintech,ZA,africa,36,0,35,100,50
samsung.com,Samsung,retail,KR,apac,36,0,35,95,58
lenskart.com,Lenskart,retail,IN,apac,36,0,35,100,50
homedepot.com.mx,Home Depot Mexico,retail,MX,latam,35,0,65,75,28
harrods.com,Harrods,retail,GB,europe,35,0,59,85,20
very.co.uk,Very,retail,GB,europe,35,0,35,95,50
dunelm.com,Dunelm,retail,GB,europe,35,0,43,100,28
nevermined.io,Nevermined,saas,ES,europe,35,0,35,100,40
getaround.com,Getaround,marketplace,FR,europe,35,4,35,100,28
elektra.com.mx,Elektra,retail,MX,latam,34,0,35,100,33
mercadolibre.com.co,Mercado Libre Colombia,marketplace,CO,latam,34,0,35,100,33
mercadolibre.com.ar,Mercado Libre Argentina,marketplace,AR,latam,34,0,35,100,33
mercadolibre.com.uy,Mercado Libre Uruguay,marketplace,UY,latam,34,0,35,100,33
octopus.energy,Octopus Energy,other,GB,europe,34,0,45,100,20
hobbycraft.co.uk,Hobbycraft,retail,GB,europe,34,0,35,100,33
mercadolibre.com.mx,Mercado Libre Mexico,marketplace,MX,latam,34,0,35,100,33
cornershopapp.com,Cornershop,marketplace,MX,latam,34,0,35,70,73
kry.se,Kry,healthcare,SE,europe,34,0,35,100,35
mercadopago.com.br,Mercado Pago Brazil,fintech,BR,latam,34,0,35,100,33
mercadolivre.com.br,Mercado Livre Brazil,marketplace,BR,latam,34,0,35,100,33
block.xyz,Block (Square),fintech,US,north_america,34,0,35,100,33
alternate.de,Alternate,retail,DE,europe,34,0,40,100,28
checkout.com,Checkout.com,fintech,GB,europe,34,0,35,100,33
mercadolibre.com.br,Mercado Livre Brasil,marketplace,BR,latam,34,0,35,100,33
joybird.com,Joybird,retail,US,north_america,34,0,35,100,33
kayak.com.br,Kayak BR,travel,BR,latam,33,0,35,100,27
contentful.com,Contentful,saas,DE,europe,33,0,35,100,25
snyk.io,Snyk,saas,GB,europe,33,0,35,100,25
mobly.com.br,Mobly,retail,BR,latam,33,0,35,100,30
mercury.com,Mercury,fintech,US,north_america,33,0,35,100,30
braintreepayments.com,Braintree,fintech,US,north_america,33,0,35,100,25
