domain,merchant_name,merchant_category,country_code,region,company_size,readiness_score,protocol_score,data_score,accessibility_score,checkout_score,business_model,ucp_status,acp_status,x402_status,mcp_status,ap2_status,nlweb_status,visa_vic_status,mastercard_status,ecommerce_platform,guest_checkout_available,has_captcha,supports_pix,supports_spei,supports_crypto,robots_allows_agents,robots_blocks_all_bots
mejuri.com,Mejuri,retail,CA,north_america,sme,58,26,65,100,73,retail,confirmed,platform_enabled,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,shopify,true,false,true,false,false,true,false
sallve.com.br,Sallve,retail,BR,latam,startup,54,26,65,75,80,retail,confirmed,platform_enabled,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,shopify,true,true,true,true,true,false,false
framebridge.com,Framebridge,retail,US,north_america,sme,53,26,66,75,73,retail,confirmed,platform_enabled,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,shopify,true,true,true,false,false,false,false
amaro.com,Amaro,retail,BR,latam,sme,52,26,65,75,70,retail,confirmed,platform_enabled,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,shopify,true,true,true,true,false,false,false
zappos.com,,,,,sme,51,12,90,100,23,,not_detected,not_detected,not_detected,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,false,false,false
compughana.com,CompuGhana,retail,GH,africa,startup,51,26,62,75,68,retail,confirmed,platform_enabled,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,shopify,true,true,true,false,false,false,false
claro.com.br,Claro Brazil,other,BR,latam,enterprise,49,0,99,100,25,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,true,false,false,false
slot.ng,Slot Systems,retail,NG,africa,startup,48,0,100,100,20,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,false,false,false,false,false
brooklinen.com,Brooklinen,retail,US,north_america,sme,46,26,35,75,78,retail,confirmed,platform_enabled,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,shopify,true,true,true,false,true,false,false
everlane.com,Everlane,retail,US,north_america,sme,46,26,35,75,78,retail,confirmed,platform_enabled,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,shopify,true,true,true,false,true,false,false
decathlon.com,Decathlon,retail,FR,europe,enterprise,46,26,40,75,73,retail,confirmed,platform_enabled,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,shopify,true,true,true,false,false,false,false
thirdlove.com,ThirdLove,retail,US,north_america,sme,46,26,35,75,78,retail,confirmed,platform_enabled,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,shopify,true,true,true,false,true,false,false
ruggable.com,Ruggable,retail,US,north_america,sme,45,16,35,100,68,retail,platform_enabled,platform_enabled,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,shopify,true,false,true,false,false,false,false
casper.com,Casper,retail,US,north_america,sme,45,26,35,75,73,retail,confirmed,platform_enabled,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,shopify,true,true,true,false,false,false,false
grind.co.uk,Grind,retail,GB,europe,mid-market,45,26,35,75,73,retail,confirmed,platform_enabled,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,shopify,true,true,true,false,false,false,false
pangaia.com,Pangaia,retail,GB,europe,mid-market,45,26,35,75,75,retail,confirmed,platform_enabled,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,shopify,true,true,true,true,false,false,false
woocommerce.com,WooCommerce,saas,US,north_america,sme,43,10,35,100,70,saas,platform_enabled,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,woocommerce,true,false,false,false,true,false,false
ikhokha.com,iKhokha,fintech,ZA,africa,startup,43,0,59,100,53,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,true,false,true,false,false,false,false
pipedrive.com,Pipedrive,saas,EE,europe,sme,42,0,94,75,23,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,true,true,false,false,false,false
sumup.com,SumUp,fintech,UK,europe,mid-market,42,0,76,95,28,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,true,false,false,false,false
mercadolibre.com.pe,Mercado Libre Peru,marketplace,PE,latam,enterprise,41,0,65,100,33,marketplace,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,true,false,false
mercadolibre.com.ec,Mercado Libre Ecuador,marketplace,EC,latam,enterprise,40,0,65,100,28,marketplace,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,true,false,false
falabella.com.co,Falabella Colombia,retail,CO,latam,enterprise,40,0,65,100,23,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,false,false,false
kiwi.com,Kiwi.com,travel,CZ,europe,sme,40,0,35,100,73,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,true,false,true,false,true,true,false
dishoom.com,Dishoom,restaurant,GB,europe,sme,40,0,49,100,53,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,true,false,true,false,false,false,false
newegg.com,Newegg,retail,US,north_america,sme,40,0,65,100,28,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,false,false,false
vuoriclothing.com,Vuori,retail,US,north_america,sme,40,16,35,75,65,retail,platform_enabled,platform_enabled,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,shopify,true,true,false,false,false,false,false
claroshop.com,Claro Shop,marketplace,MX,latam,mid-market,39,0,65,95,25,marketplace,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,true,false,false,false
clip.mx,Clip,fintech,MX,latam,sme,39,0,65,100,20,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,false,false,false
kayak.com,Kayak,travel,US,north_america,sme,39,0,35,100,70,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,true,false,false,false,true,false,false
marks-and-spencer.com,Marks & Spencer,retail,GB,europe,sme,38,0,55,100,25,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,false,false,false,false,false
lookfantastic.com,Lookfantastic,retail,GB,europe,mid-market,38,4,65,75,33,retail,not_detected,eligible,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,true,true,false,false,false,false
notonthehighstreet.com,Not On The High Street,marketplace,GB,europe,mid-market,38,0,55,100,25,marketplace,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,false,false,false,false,false
marksandspencer.com,Marks & Spencer,retail,GB,europe,enterprise,38,0,55,100,25,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,false,false,false,false,false
ledger.com,Ledger,fintech,FR,europe,mid-market,38,0,59,75,55,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,true,true,false,false,true,false,false
xkom.pl,x-kom,retail,PL,europe,mid-market,38,10,35,100,35,retail,platform_enabled,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,woocommerce,false,false,false,false,false,false,false
bombas.com,Bombas,retail,US,north_america,sme,38,0,40,100,53,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,true,false,true,false,false,false,false
apple.com,Apple,retail,US,north_america,sme,38,0,56,100,25,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,false,false,false,false,false
officedepot.com.mx,Office Depot Mexico,retail,MX,latam,enterprise,37,0,55,100,23,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,false,false,false
boohoo.com,Boohoo,retail,GB,europe,enterprise,37,0,35,100,58,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,true,false,true,false,false,false,false
debenhams.com,Debenhams,retail,GB,europe,enterprise,37,0,35,100,55,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,true,false,false,false,false,false,false
rippling.com,Rippling,saas,US,north_america,sme,37,0,55,100,20,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,false,false,false
lidl.de,Lidl,retail,DE,europe,enterprise,37,0,55,100,22,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,false,true,false,false,false
peachpayments.com,Peach Payments,fintech,ZA,africa,mid-market,37,0,35,100,58,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,true,false,true,false,true,false,false
cdon.se,CDON,marketplace,SE,europe,mid-market,37,0,35,100,53,marketplace,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,true,false,true,false,false,false,false
dock.tech,Dock,fintech,BR,latam,mid-market,37,0,35,100,53,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,true,false,true,false,false,false,false
temu.com,Temu,marketplace,CN,apac,sme,37,0,35,100,58,marketplace,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,true,false,true,false,true,false,false
konga.com,Konga,marketplace,NG,africa,sme,37,0,35,100,53,marketplace,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,true,false,true,false,false,false,false
payu.com,PayU,fintech,NL,europe,mid-market,37,0,35,100,53,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,true,false,true,false,false,false,false
fondy.eu,Fondy,fintech,UA,europe,mid-market,37,0,35,100,55,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,true,false,false,false,true,false,false
backmarket.com,Back Market,retail,FR,europe,mid-market,36,0,25,100,63,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,true,false,true,false,false,false,false
tymebank.co.za,TymeBank,fintech,ZA,africa,mid-market,36,0,35,100,50,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,true,false,false,false,false,false,false
samsung.com,Samsung,retail,KR,apac,sme,36,0,35,95,58,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,true,false,true,false,true,false,false
lenskart.com,Lenskart,retail,IN,apac,sme,36,0,35,100,50,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,true,false,false,false,false,false,false
homedepot.com.mx,Home Depot Mexico,retail,MX,latam,enterprise,35,0,65,75,28,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,true,true,false,false,false,false
